Column1;song;track_n;album;year;lyric;decade
103;Tonight I'll Be Staying Here with You;10;Nashville Skyline;1969;throw my ticket out the window throw my suitcase out there  too throw my troubles out the door i do not need them anymore  cause tonight i will be staying here with you i should have left this town this morning but it was more than i could do oh  your love comes on so strong and i have waited all day long for tonight when i will be staying here with you is it really any wonder the love that a stranger might receive  you cast your spell and i went under i find it so difficult to leave i can hear that whistle blowin  i see that stationmaster  too if there a poor boy on the street then let him have my seat  cause tonight i will be staying here with you throw my ticket out the window throw my suitcase out there  too throw my troubles out the door i do not need them anymore  cause tonight i will be staying here with you;1960s
104;All the Tired Horses;1;Self Portrait;1970;all the tired horses in the sun how am i supposed to get any riding done  hmm;1970s
105;If Not for You;1;"New Morning	";1970;if not for you babe  i could not find the door could not even see the floor i would be sad and blue if not for you if not for you babe  i would lay awake all night wait for the morning light to shine in through but it would not be new if not for you if not for you  my sky would fall rain would gather too without your love  i would be nowhere at all i would be lost if not for you and you know it true if not for you  my sky would fall rain would gather too without your love  i would be nowhere at all oh  what would i do if not for you if not for you winter would have no spring could not hear the robin sing i just would not have a clue anyway it would not ring true if not for you if not for you if not for you if not for you if not for you;1970s
106;Alberta #1;2;Self Portrait;1970;alberta let your hair hang low alberta let your hair hang low i will give you more gold than your apron can hold if you would only let your hair hang low alberta what on your mind alberta what on your mind you keep me worried and bothered all of the time alberta what on your mind alberta do not you treat me unkind alberta do not you treat me unkind oh my heart is so sad cause i want you so bad alberta do not you treat me unkind alberta let your hair hang low alberta let your hair hang low i will give you more gold than your apron can hold if you will only let your hair hang low;1970s
107;Day of the Locusts;2;"New Morning	";1970;oh  the benches were stained with tears and perspiration the birdies were flying from tree to tree there was little to say  there was no conversation as i stepped to the stage to pick up my degree and the locusts sang off in the distance yeah  the locusts sang such a sweet melody oh  the locusts sang off in the distance yeah  the locusts sang and they were singing for me i glanced into the chamber where the judges were talking darkness was everywhere  it smelled like a tomb i was ready to leave  i was already walking but the next time i looked there was light in the room and the locusts sang  yeah  it give me a chill oh  the locusts sang such a sweet melody oh  the locusts sang their high whining trill yeah  the locusts sang and they were singing for me outside of the gates the trucks were unloading the weather was hot  a nearly 90 degrees the man standing next to me  his head was exploding well  i was praying the pieces would not fall on me yeah  the locusts sang off in the distance yeah  the locusts sang such a sweet melody oh  the locusts sang off in the distance and the locusts sang and they were singing for me i put down my robe  picked up my diploma took hold of my sweetheart and away we did drive straight for the hills  the black hills of dakota sure was glad to get out of there alive and the locusts sang  well  it give me a chill yeah  the locusts sang such a sweet melody and the locusts sang with a high whining trill yeah  the locusts sang and they was singing for me singing for me  well  singing for me;1970s
108;I Forgot More Than You'll Ever Know;3;Self Portrait;1970;i forgot more than you will ever know about her you think you know the smile on her lips the thrill and the touch of her fingertips but i forgot more than you will ever know about her you think you will find heaven of bliss in each caress  in each tender kiss but i forgot more than you will ever know about her you stole her love from me one day you did not care how it hurt me but you can never steal away memories of what used to be you think she yours  to have and to hold someday you will learn  when her love grows cold but i forgot more than you will ever know about her;1970s
109;Time Passes Slowly;3;"New Morning	";1970;time passes slowly up here in the mountains we sit beside bridges and walk beside fountains catch the wild fishes that float through the stream time passes slowly when you are lost in a dream once i had a sweetheart  she was fine and good looking we sat in her kitchen while her mama was cooking stared out the window to the stars high above time passes slowly when you are searching for love ai not no reason to go in a wagon to town ai not no reason to go to the fair ai not no reason to go up  ai not no reason to go down ai not no reason to go anywhere time passes slowly up here in the daylight we stare straight ahead and try so hard to stay right like the red rose of summer that blooms in the day time passes slowly and fades away;1970s
110;Days of 49;4;Self Portrait;1970;i am old tom moore from the bummer shore in that good old golden days they call me a bummer and a ginsot too  but what cares i for praise   i wander around from town to town just like a roving sign and all the people say   there goes tom moore  in the days of  49  in the days of old  in the days of gold how oft times i repine for the days of old when we dug up the gold  in the days of  49 my comrades they all loved me well  a jolly saucy crew a few hard cases i will recall though they all were brave and true whatever the pitch they never would flinch  they never would fret or whine like good old bricks they stood the kicks in the days of  49 there was new york jake  the butcher boy  he was always getting tight and every time that he would get full he was spoiling for a fight but jake rampaged against a knife in the hands of old bob stein and over jake they held a wake in the days of  49 there was poker bill  one of the boys who was always in a game whether he lost or whether he won  to him it was always the same he would ante up and draw his cards and he would you go a hatful blind in the game with death bill lost his breath  in the days of  49 there was ragshag bill from buffalo  i never will forget he would roar all day and he would roar all night and i guess he roaring yet one day he fell in a prospect hole  in a roaring bad design and in that hole he roared out his soul  in the days of  49 of the comrades all that i have had  there none that left to boast and i am left alone in my misery like some poor wandering ghost and i pass by from town to town  they call me a rambling sign  there goes tom moore  a bummer shore in the days of  49  ;1970s
111;Went to See the Gypsy;4;"New Morning	";1970;went to see the gypsy staying in a big hotel he smiled when he saw me coming and he said     well  well  well    his room was dark and crowded lights were low and dim    how are you     he said to me i said it back to him i went down to the lobby to make a small call out a pretty dancing girl was there and she began to shout    go on back to see the gypsy he can move you from the rear drive you from your fear bring you through the mirror he did it in las vegas and he can do it here    outside the lights were shining on the river of tears i watched them from the distance with music in my ears i went back to see the gypsy it was nearly early dawn the gypsy door was open wide but the gypsy was gone and that pretty dancing girl she could not be found so i watched that sun come rising from that little minnesota town;1970s
112;Early Mornin' Rain;5;Self Portrait;1970;in the early morning rain with a dollar in my hand and an aching in my heart and my pockets full of sand i am a long way from home and i miss my loved one so in the early morning rain with nowhere to go cut on runway number nine  big 707 set to go i am stuck here on the ground  where the cold winds blow the liquor tasted good and the women all were fast there she goes  my friend  she rolling down at last hear the mighty engines roar  see the silver bird on high she away and westward bound  far above the clouds she will fly where the morning rain do not fall and the sun always shines she will be flying over my home in about three hours time this old airport got me down  it no earthly good to me because i am stuck here on the ground  cold and drunks as i might be you can not hop a jet plane like you can a freight train so i would best be on my way in the early morning rain;1970s
113;Winterlude;5;"New Morning	";1970;winterlude  winterlude  oh darling winterlude by the road tonight tonight there will be no quarreling everything is gonna be all right oh  i see by the angel beside me that love has a reason to shine you are the one i adore  come over here and give me more then winterlude  this dude thinks you are fine winterlude  winterlude  my little apple winterlude by the corn in the field winterlude  let go down to the chapel then come back and cook up a meal well  come out when the skating rink glistens by the sun  near the old crossroads sign the snow is so cold  but our love can be bold winterlude  do not be rude  please be mine winterlude  winterlude  my little daisy winterlude by the telephone wire winterlude  it making me lazy come on  sit by the logs in the fire the moonlight reflects from the window where the snowflakes  they cover the sand come out tonight  everything will be tight winterlude  this dude thinks you are grand;1970s
114;If Dogs Run Free;6;"New Morning	";1970;if dogs run free  then why not we across the swooping plain  my ears hear a symphony of two mules  trains and rain the best is always yet to come that what they explain to me just do your thing  you will be king if dogs run free if dogs run free  why not me across the swamp of time  my mind weaves a symphony and tapestry of rhyme oh  winds which rush my tale to thee so it may flow and be to each his own  it all unknown if dogs run free if dogs run free  then what must be must be  and that is all true love can make a blade of grass stand up straight and tall in harmony with the cosmic sea true love needs no company it can cure the soul  it can make it whole if dogs run free;1970s
115;In Search of Little Sadie;6;Self Portrait;1970;went out last night just to take a little round i met my little sadie and i brought her down i ran right home and i went to bed with a  44 smokeless under my head i began to think what a deed i done i grabbed my head and i began to run i made a good run but i run too slow they overtook me down in jericho standin  on the corner as he ringin  my bell up stepped the sheriff of thomasville he says   young man is your name brown  remember you blowed little sadie down    oh  yes sir my name is lee i murdered little sadie in first degree   first degree and second degree if you got any papers  will you serve them to me   well they took me downtown and they dressed me in black they put me on a train and they sent me back i had no one for to go my bail they crammed me back into the county jail oh yes they did now the judge and the jury they took their stand the judge had the papers in his right hand forty one days  forty one nights forty one years with the ball and stripes  oh no went out last night to take a little round i met my little sadie and i blowed her down i run right home and i went to bed a  44 smokeless under my head;1970s
116;Let It Be Me;7;Self Portrait;1970;i bless the day i found you i want my arms around you and so i beg you  let it be me do not take this heaven from one if you must cling to someone now and forever  let it be me each time we meet  love i find complete love without your sweet love  what would life be   so never leave me lonely tell me that you love me only and say you will always let it be me;1970s
117;New Morning;7;"New Morning	";1970;ca not you hear that rooster crowing  rabbit running down across the road underneath the bridge where the water flowed through so happy just to see you smile underneath the sky of blue on this new morning  new morning on this new morning with you ca not you hear that motor turning  automobile coming into style coming down the road for a country mile or two so happy just to see you smile underneath the sky of blue on this new morning  new morning on this new morning with you the night passed away so quickly it always does when you are with me ca not you feel that sun a shining  ground hog running by the country stream this must be the day that all of my dreams come true so happy just to be alive underneath the sky of blue on this new morning  new morning on this new morning with you so happy just to be alive underneath the sky of blue on this new morning  new morning on this new morning with you new morning;1970s
118;Little Sadie;8;Self Portrait;1970;went out last night to take a little round i met my little sadie and i brought her down i ran right home and i went to bed with a forty four smokeless under my head i began to think what a deed i would done i grabbed my hat and i began to run i made a good run but i ran too slow they overtook me down in jericho standing on a corner a ringing  my bell up stepped the sheriff from thomasville he said  young man is your name brown remember you blowed sadie down    oh yes sir  my name is lee i murdered little sadie in the first degree first degree and second degree if you have got any papers will you serve them to me   well they took me down town and they dressed me in black they put me on a train and they sent me back i had no one to go my bail they crammed me back into the county jail oh  yes they did the judge and the jury they took their stand the judge had the papers in his right hand forty one days  forty one nights forty one years to wear the ball and the stripes oh  no  went out last night to take a little round i met little sadie and i blowed her down i ran right home and i went to bed a forty four smokeless under my head;1970s
119;Sign on the Window;8;"New Morning	";1970;sign on the window says    lonely    sign on the door said    no company allowed    sign on the street says    y  do not own me    sign on a porch says    three a crowd    sign on a porch says    three a crowd    her and her boyfriend went to california her and her boyfriend done changed their tune my best friend said     now did not i warn you  brighton girls are like the moon brighton girls are like the moon    looks like a nothing but rain sure gonna be wet tonight on main street hope that it do not sleet build me a cabin in utah marry me a wife  catch rainbow trout have a bunch of kids who call me    pa    that must be what it all about that must be what it all about;1970s
120;One More Weekend;9;"New Morning	";1970;slipping and sliding like a weasel on the run i am looking good to see you  yeah  and we can have some fun one more weekend  one more weekend with you one more weekend  one more weekend will do come on down to my ship  honey  ride on deck we will fly over the ocean just like you suspect one more weekend  one more weekend with you one more weekend  one more weekend will do we will fly the night away hang out the whole next day things will be okay you wait and see we will go someplace unknown leave all the children home honey  why not go alone just you and me coming and going like a rabbit in the wood i am happy just to see you  yeah  looking so good one more weekend  one more weekend with you one more weekend  one more weekend will do  yes  you will   like a needle in a haystack  i am gonna find you yet you are the sweetest gone mama that this boy ever gonna get one more weekend  one more weekend with you one more weekend  one more weekend will do;1970s
122;Belle Isle;10;Self Portrait;1970;one evening for pleasure i rambled to view the fair fields all alone down by the banks of loch eiron where beauty and pleasure were known i spied a fair maid at her labour which caused me to stay for a while and i thought of a goddess to beauty bloomin  bright star of bright isle i humbled myself to her beauty  fair maiden  where do you belong  are you from heaven descended abiding in cupid fair throne    young man  i will tell you a secret it true i am a maid that is poor and to part from my vows and my promise is more than my heart can endure therefore i remain at my service and go through all my hardship and toil and wait for the lad that has left me all alone on the banks of belle isle    young maiden i wish not to banter it true i come here in disguise i came here to fulfill our last promise and hope to give you a surprise i have known you are a maid i love dearly and you have been in my heart all the while for me there is no other damsel than my blooming bright star of belle isle  ;1970s
123;The Man in Me;10;"New Morning	";1970;na the man in me will do nearly any task and as for compensation  there little he would ask take a woman like you to get through to the man in me storm clouds are raging all around my door i think to myself i might not take it anymore take a woman like your kind to find the man in me but  oh  what a wonderful feeling just to know that you are near sets my heart a reeling from my toes up to my ears the man in me will hide sometimes to keep from bein  seen but that just because he does not want to turn into some machine took a woman like you to get through to the man in me;1970s
124;Living the Blues;11;Self Portrait;1970;since you have been gone i have been walking around with my head bowed down to my shoes i have been living the blues ev ry night without you i do not have to go far  ah ah  to know where you are  ah ah  strangers all give me the news i have been living the blues  living the blues  ev ry night without you i think that it best i soon get some rest and forget my pride but i can not deny this feeling that i carry for you deep down inside if you see me this way  ah ah  you would come back and you would stay  ah ah  oh  how could you refuse i have been living the blues  living the blues  ev ry night without you na i think that it best i soon get some rest and forget my pride but i can not deny this feeling that i carry for you deep down inside if you see me this way you would come back and you would stay oh  how could you refuse i have been living the blues  living the blues  ev ry night without you i have been living the blues  living the blues  ev ry night without you i have been living the blues  living the blues  ev ry night without you;1970s
125;Three Angels;11;"New Morning	";1970;three angels up above the street each one playing a horn dressed in green robes with wings that stick out they have been there since christmas morn the wildest cat from montana passes by in a flash then a lady in a bright orange dress one u haul trailer  a truck with no wheels the tenth avenue bus going west the dogs and pigeons fly up and they flutter around a man with a badge skips by three fellas crawling on their way back to work nobody stops to ask why the bakery truck stops outside of that fence where the angels stand high on their poles the driver peeks out  trying to find one face in this concrete world full of souls the angels play on their horns all day the whole earth in progression seems to pass by but does anyone hear the music they play does anyone even try ;1970s
126;Father of Night;12;"New Morning	";1970;father of night  father of day father  who taketh the darkness away father  who teacheth the bird to fly builder of rainbows up in the sky father of loneliness and pain father of love and father of rain father of day  father of night father of black  father of white father  who build the mountain so high who shapeth the cloud up in the sky father of time  father of dreams father  who turneth the rivers and streams father of grain  father of wheat father of cold and father of heat father of air and father of trees who dwells in our hearts and our memories father of minutes  father of days father of whom we most solemnly praise;1970s
127;Like a Rolling Stone (Live);12;Self Portrait;1970;once upon a time you dressed so fine you threw the bums a dime in your prime did not you  people would call  say   beware  doll  you are bound to fall  you thought they were all kiddin  you you used to laugh about everybody that was hanging out now you do not talk so loud now you do not seem so proud about having to be scrounging for your next meal how does it feel  how does it feel to be without a home like a complete unknown like a rolling stone  oh  you have gone to the finest school  alright  miss lonely but you know you only used to get juiced in it nobody ever taught you how to live out on the street and now you are gonna have to get used to it you say you would never compromise with the mystery tramp  but now you realize he not selling any alibis as you stare into the vacuum of his eyes and say   do you want to make a deal   how does it feel  how does it feel to be on your own with no direction home a complete unknown like a rolling stone  oh  you never turned around to see the frowns on the jugglers and the clowns when they all did tricks for you you never understood that it ai not no good you should not let other people get your kicks for you you used to ride on the chrome horse with your diplomat who carried on his shoulder a siamese cat ai not it hard when you discover that he really was not where it at after he took from you everything he could steal  how does it feel  how does it feel to hang on your home with no direction home like a complete unknown like a rolling stone  princess on the steeple and all the pretty people they are all drinking thinking that they got it made exchanging all their precious gifts but you would better take your diamond ring you would better pawn it  baby you used to be so amused at napoleon in rags and the language that he used go to him now  he calls you  you can not refuse when you ai not got nothing  you got nothing to lose you are invisible now  you got no secrets to conceal how does it feel  how does it feel to be on your own with no direction home like a complete unknown like a rolling stone ;1970s
128;Copper Kettle (The Pale Moonlight);13;Self Portrait;1970;get you a copper kettle  get you a copper coil fill it with new made corn mash and never more you will toil you will just lay there by the juniper while the moon is bright watch them just a filling in the pale moonlight build you a fire with hickory  hickory  ash and oak do not use no green or rotten wood  they will get you by the smoke you will just lay there by the juniper while the moon is bright watch them just a filling in the pale moonlight my daddy he made whiskey  my granddaddy he did too we ai not paid no whiskey tax since 1792 you will just lay there by the juniper while the moon is bright watch them just a filling in the pale moonlight;1970s
129;Gotta Travel On;14;Self Portrait;1970;done laid around  done stayed around this old town too long summer almost gone  winter coming on done laid around  done stayed around this old town too long and it seems like i have got to travel on and it seems like i have got to travel on papa writes to johnny   johnny  can not you come home   johnny  can not you come home   johnny  can not you come home    papa writes to johnny   johnny  can not you come home    johnny been out on the road too long done laid around  done stayed around this old town too long and it seems like i have got to travel on and it seems like i have got to travel on that silly wind will soon begin and i will be on my way going home to stay  going home to stay that silly wind will soon begin and i will be on my way and i feel like i just want to travel on done laid around  done stayed around this old town too long and it seems like i have got to travel on and it seems like i have got to travel on there a lonesome freight at 6 08 coming through the town i will be homward bound  i will be homeward bound there a lonesome freight at 6 08 coming through the town and i feel like i just want to travel on done laid around  done stayed around this old town too long and it seems like i have got to travel on and it seems like i have got to travel on;1970s
130;Blue Moon;15;Self Portrait;1970;blue moon  you saw me standing alone without a dream in my heart  without a love of my own blue moon  you knew just what i was there for you heard me saying a prayer for someone i really could care for and suddenly there appeared before me the only one my arms could ever hold i heard someone whisper   please  adore me  and when i looked my moon had turned to gold blue moon  now i am no longer alone without a dream in my heart  without a love of my own without a love of my own;1970s
131;The Boxer;16;Self Portrait;1970;i am just a poor boy though my story seldom told i have squadered my resistance for a pocketful of numbles such are promises  all lies and jest still a man hears what he wants to hear and disregards the rest when i left my home and family i was no more than a boy in the company of strangers in the quiet of the railway station running scared  laying low seeking out the poorer quarters where the ragged people go looking for the places only they would know asking only workman wages i come looking for a job but i get no offers just a come on from the whores on seventh avenue i do declare there were times when i was so lonesome i took some comfort there then i am laying out my winter clothes and wishing i was gone  going home where the new york city winters are not bleeding me leading me going home in the clearing stands a boxer and a fighter by his trade and he carries the reminders of every glove that laid him down and cut him till he cried out in his anger and his shame  i am leaving  i am leaving  but the fighter still remains;1970s
132;The Mighty Quinn (Quinn the Eskimo) (Live);17;Self Portrait;1970;everybody building ships and boats some are building monuments others  jotting down notes everybody in despair every girl and boy but when quinn the eskimo gets here everybody gonna jump for joy oh  come all without  come all within you will not see nothing like the mighty quinn come all without  come all within you will not see nothing like the mighty quinn oh y know  i like to do just like the rest y know  i like my sugar sweet but jumping queues and making haste y know  ai not my cup of meat everybody out there feeding pigeons out on a limb when quinn the eskimo gets here the pigeons gonna run to him oh  come all without  come all within yeah  you will not see nothing like the mighty quinn come all without  come all within you will not see nothing like the mighty quinn whoah  guitar now cat mew and cow meow y know  i can recite  em all tell me where it hurts you  honey i will tell you who to call nobody can get any sleep y know their stepping on everybody toes quinn the eskimo gets here everybody gonna wanna dose oh  come all without  come all within you will not see nothing like the mighty quinn oh  come all without  come all within you will not see nothing like the mighty quinn;1970s
133;Take Me As I Am (Or Let Me Go);18;Self Portrait;1970;why must you always try to make me over   take me as i am or let me go white lilies never grow on stalks of clover take me as i am or let me go you are trying to reshape me in a moment in the image of someone you used to know i will not be a stand in for an old love take me as i am or let me go you have tried to change me ever since you have met me take me as i am or let me go if you cannot overlook my faults  forget me take me as i am or let me go you are trying to reshape me in a mould love in the image of someone you used to know but i will not be a stand in for an old love take me as i am or let me go;1970s
134;Take a Message to Mary;19;Self Portrait;1970;these are the words of a frontier lad who lost his love when he turned bad take a message to mary but do not tell here where i am take a message to mary but do not say i am in a jam you can tell her that i had to see the world tell her that my ship set sail you can say she would better not wait for me but do not tell her i am in jail  oh do not tell her i am in jail take a message to mary but do not tell her what i have done please  do not mention the stage coach and the shot from a carried gun you better tell her that i had to change my plans and cancel out the wedding day but please  do not mention the lonely cell where i am gonna pine away  until my dying day take a message to mary but do not tell her all you know my heart is aching for mary lord know i miss her so just tell her that i went to timbukto tell her i am searching for gold you can say she better find someone new to cherish and to hold  oh lord  this cell is so cold;1970s
135;It Hurts Me Too;20;Self Portrait;1970;so run here baby  put your little hands in mine i have got something to tell you i know you are gonna change your mind when things go wrong  so wrong with you it hurts me too i want you  baby  just to understand i do not wanna be your boss  babe i just wanna be your man when things go wrong  so wrong with you it hurts me too now when you go home  you do not have to get along come back to me  baby where i live  that where you belong when things go wrong  so wrong with you it hurts me too i love you baby  and you know that it true i would not mistreat you  baby nothing in this world is like you when things go wrong  so wrong with you it hurts me too yes  when things go wrong  so wrong with you it hurts me too so run here baby  put your little hand in mine i got something to tell you  baby i know that will change your mind when things go wrong  so wrong with you do not you know it  do not you know it hurts me too;1970s
136;Minstrel Boy;21;Self Portrait;1970;who gonna throw that minstrel boy a coin   who gonna let it roll   who gonna throw that minstrel boy a coin   who gonna let it down easy to save his soul   oh look  he driving a long  long time there he still sits on top of the hill well aching and jumping with all laid down with all of them ladies you know he lonely still who gonna throw that minstrel boy a coin   who gonna let it roll   who gonna throw that minstrel boy a coin   who gonna let it down easy to save his soul   well knee deep in number  heavy in toil mighty mockingbird he still has such a heavy load beneath his boundaries but more if i can tell with all of these travelling but i am still on that road who gonna throw that minstrel boy a coin   who gonna let it roll   who gonna throw that minstrel boy a coin   who gonna let it down easy to save his soul  ;1970s
137;She Belongs to Me;22;Self Portrait;1970;she got everything she needs she an artist  she do not look back she got everything she needs she an artist  she do not look back she can take the dark out of the nighttime and paint the daytime black you will start out standing proud to steal her anything she sees you will start out standing proud to steal her anything she sees but you will wind up peeking through her keyhole down upon your knees she never stumbles she got no place to fall she never stumbles she got no place to fall she nobody child the law can not touch her at all na she wears an egyptian ring it sparkles before she speaks she wears an egyptian ring it sparkles before she speaks she a hypnotist collector you are a walking antique bow down to her on sunday salute her when her birthday comes bow down to her on sunday salute her when her birthday comes for halloween buy her a trumpet and for christmas get her a drum she got everything she needs she an artist  she do not look back she got everything she needs she an artist  she do not look back she can take the dark out of the nighttime and paint the daytime black you will start out standing proud to steal her anything she sees you will start out standing proud to steal her anything she sees but you will wind up peeking through her keyhole down upon your knees she never stumbles she got no place to fall she never stumbles she got no place to fall she nobody child the law can not touch her at all na she wears an egyptian ring it sparkles before she speaks she wears an egyptian ring it sparkles before she speaks she a hypnotist collector you are a walking antique bow down to her on sunday salute her when her birthday comes bow down to her on sunday salute her when her birthday comes for halloween buy her a trumpet and for christmas get her a drum;1970s
138;Wigwam;23;Self Portrait;1970;da da dah da da dada da da dah de dum da da da dah da la da dah dede la dah dah dada dah lah dada dah da da dah dah da dada dum dah la dah dah da da dah dee dah da daladah duh duh duh la dah dah da da daaaaah dah da dah uh uhhhhnn da da dah da duhh   duh duh duh duun  da da dah dah  da da dah dahun da du duh duh uh dun dada dadada da duh duh deeee de de dede da nah nah a nah nah naaaah    la dah dede la dah dah da da dee la dah dee dun dun dun nee nah ha duh dee dun nah na naha dee da dada dah da da da dah la dah dah dada dah dee du duh duh doo dee dede dee dede;1970s
139;Alberta #2;24;Self Portrait;1970;alberta let your hair hang low alberta let your hair hang low i will give you more gold than your apron can hold if you would only let your hair hang low alberta what on your mind alberta what on your mind you keep me worried and bothered all of the time alberta what on your mind alberta do not you treat me unkind alberta do not you treat me unkind oh my heart is so sad cause i want you so bad alberta do not you treat me unkind alberta let your hair hang low alberta let your hair hang low i will give you more gold than your apron can hold if you will only let your hair hang low;1970s
140;Lily of the West;1;Dylan 1973;1973;when first i came to louisville  some pleasure there to find a damsel there from lexington was pleasing to my mind her rosy cheeks  her ruby lips  like arrows pierced my breast and the name she bore was flora  the lily of the west i courted lovely flora some pleasure for to find but she turned unto another man whose sore distressed my mind she robbed me of my liberty  deprived me of my rest then go  my lovely flora  the lily of the west away down in yonder shady grove  a man of high degree conversing with my flora there  it seemed so strange to me and the answer that she gave to him it sore did me oppress i was betrayed by flora  the lily of the west i stepped up my rival  dagger in my hand i seized him by the collar  and body made him stand seeing mad by desperation i pierced him to the breast all this for lovely flora  the lily of the west i had to stand my trial  i had to make my plea they placed me in the witness box and then commenced on me although she swore my life away  deprived me of my rest still i love my faithless flora  the lily of the west;1970s
142;Can’t Help Falling in Love;2;Dylan 1973;1973;wise men say  only fools rush in but i can not help falling in love with you shall i stay  will it be a sin if i can not help falling in love with you   like a river flows surely to the sea darling  so it goes  some things were meant to be take my hand  take my whole life too for i can not help falling in love with you;1970s
144;Billy 1;3;Pat Garrett Billy the Kid;1973;there guns across the river aimin  at ya lawman on your trail  he would like to catch ya bounty hunters  too  they would like to get ya billy  they do not like you to be so free campaign  out all night on the veranda dealing  cards  till dawn in the hacienda up to boot hill they would like to send ya billy  do not you turn your back on me playing  around with some sweet se  orita into her dark hallway she will lead ya in some lonesome shadows she will greet ya billy  you are so far away from home there eyes behind the mirrors in empty places bullet holes and scars between the spaces there always one more notch and ten more paces billy  and you are walking  all alone they say that pat garrett got your number so sleep with one eye open when you slumber every little sound just might be thunder thunder from the barrel of his gun guitars will play your grand finale down in some tularosa alley maybe in the rio pecos valley billy  you are so far away from home there always some new stranger sneakin  glances some trigger happy fool willin  to take chances and some old whore from san pedro to make advances advances on your spirit and your soul the businessmen from taos want you to go down they have hired pat garrett to force a showdown billy  do not it make ya feel so low down to be shot down by the man who was your friend  hang on to your woman if you got one remember in el paso  once  you shot one she may have been a whore  but she was a hot one billy  you have been running  for so long guitars will play your grand finale down in some tularosa alley maybe in the rio pecos valley billy  you are so far away from home;1970s
145;Sarah Jane;3;Dylan 1973;1973;i got a wife and five little chilling i am going to take a trip on the big mcmillan with saro jane saro jane i have nothing to do but to set down and sing and rock about my saro jane the boiler busted and the whistle squall the captain has gone through the hole in the wall oh saro jane saro jane i have nothing to do but to set down and sing and rock about my saro jane the engine give a crack and the whistle gave a squall the engineer gone to the hole in the wall saro jane saro jane i have nothing to do but to set down and sing and rock about my saro jane yankee built boats to shoot them rebels my gun steady going to hold it level saro jane saro jane but to set down and sing and rock about my saro jane;1970s
147;The Ballad of Ira Hayes;4;Dylan 1973;1973;gather round you people and a story i will tell about a brave young indian you should remember well from the tribe of pima indians  a proud and a peaceful band they farmed the phoenix valley in arizona land down their ditches for a thousand years the sparkling water rushed till their white man stole their water rights and the running water hushed now ira folks were hungry and their farms when crops of weeds but when war came he volunteers and forgot  the white man greed call him  drunken ira hayes  he will not answer anymore not the whiskey drinking indian or the marine who went to war yes  call him  drunken ira hayes  he will not answer anymore not the whiskey drinking indian or the marine who went to war they started up iwo jima hill  250 men but only 27 lived to walk back down that hill again and when the fight was over and the old glory raised one of the men who held it high was the indian ira hayes call him  drunken ira hayes  he will not answer anymore not the whiskey drinking indian or the marine who went to war call him  drunken ira hayes  he will not answer anymore not the whiskey drinking indian or the marine who went to war now ira returned a hero  celebrated throughout the land he was wined and speeched and honored  everybody shook his hand but he was just a pima indian  no money crops  no chance and at home nobody cared what ira had done and the wind did the indian dance call him  drunken ira hayes  he will not answer anymore not the whiskey drinking indian or the marine who went to war call him  drunken ira hayes  he will not answer anymore not the whiskey drinking indian or the marine who went to war and ira started drinking hard  jail was often his home they let him raise the flag there and lower it like you would throw a dog a bone he died drunk early one morning  alone in the land he had fought to save two inches of water in a lonely ditch was the grave for ira hayes call him  drunken ira hayes  he will not answer anymore not the whiskey drinking indian or the marine who went to war yes  call him  drunken ira hayes  he will not answer anymore not the whiskey drinking indian or the marine who went to war yes  call him  drunken ira hayes  but his land is still as dry and his ghost is lying thirsty in the ditch where ira died call him  drunken ira hayes  he will not answer anymore not the whiskey drinking indian or the marine who went to war yes  call him  drunken ira hayes  he will not answer anymore not the whiskey drinking indian or the marine who went to war;1970s
148;Mr. Bojangles;5;Dylan 1973;1973;i knew a man bojangles and he would dance for you in worn out shoes silver hair  ragged shirt and baggy pants  that old soft shoe he would jump so high  he would jump so high  then he lightly touch down  mr  bojangles  mr  bojangles  dance i met him in a cell in new orleans  i was down and out he looked to me to be the eyes of age as he spoke right out he talked of life  he talked of life  laughing slapped his leg stale mr  bojangles  mr  bojangles  dance he said the name bojangles and he danced a lick all across the cell he grabbed his pants for a better stance oh  he jumped so high and he clicked up his heels he let go laugh  he let go laugh  shook back his clothes all around mr  bojangles  mr  bojangles  dance  yeah  dance he danced for those at minstrel shows and county fairs throughout the south he spoke with tears of 15 years of how his dog and him just traveled about but his dog up and died  he up and died and after 20 years he still grieves mr  bojangles  mr  bojangles  dance he said   i dance now at every chance at honky tonks for drinks and tips but most of the time i spend behind these county bars because i drinks a bit  he shook his head  yes  he shook his head i heard someone ask him   please     mr  bojangles  mr  bojangles  dance  dance mr  bojangles  dance  songwriter   jerry jeff walker;1970s
150;Mary Ann;6;Dylan 1973;1973;oh  fare thee well  my own true love  fare thee well but for a while the ship is waiting and the wind blows high and i am bound away for the sea  mary ann ten thousand miles away from home  ten thousand miles or more the sea may freeze and the earth may burn if i never no more return to you  mary ann oh  do not you see that crow fly high  she will surely turn to white if never i prove false to you let the day turn to night  my dear  mary ann if i had a flask of gin and sugar here for two and a great big bowl for two to mix it in i would pour a drink for you my dear  mary ann yes  i would pour a drink for you my dear  mary ann;1970s
