Column1;song;track_n;album;year;lyric;decade
11;Freight Train Blues;11;Bob Dylan;1962;i was born in dixie in a boomer shed just a little shanty by the railroad track freight train was it taught me how to cry the holler of the driver was my lullaby i got the freight train blues oh lord mama  i got them in the bottom of my rambling shoes and when the whistle blows i got to go baby  do not you know well  it looks like i am never going to lose the freight train blues well  my daddy was a fireman and my mama ha she was the only daughter of an engineer my sweetheart was a brakeman and it ai not no joke seems a waste to get a good man broke i got the freight train blues oh lord mama  i got them in the bottom of my rambling shoes and when the whistle blows i got to go mama  do not you know well  it looks like i am never going to lose the freight train blues well  the only thing that makes me laugh again is a southbound whistle on a southbound train every place i want to go i never can go because you know i got the freight train blues oh lord mama  i got them in the bottom of my rambling shoes;1960s
12;Song to Woody;12;Bob Dylan;1962;i am out here a thousand miles from my home walking a road other men have gone down i am seeing your world of people and things your paupers and peasants and princes and kings hey  hey  woody guthrie  i wrote you a song about a funny old world that a coming along seems sick and it hungry  it tired and it torn it looks like it a dying and it hardly been born hey  woody guthrie  but i know that you know all the things that i am a saying an a many times more i am a singing you the song  but i can not sing enough because there not many men that done the things that you have done here to cisco and sonny and leadbelly too and to all the good people that traveled with you here to the hearts and the hands of the men that come with the dust and are gone with the wind i am a leaving tomorrow  but i could leave today somewhere down the road someday the very last thing that i would want to do is to say i have been hitting some hard traveling too;1960s
13;See That My Grave Is Kept Clean;13;Bob Dylan;1962;well there one kind of favor i will ask for you well there one kind of favor i will ask for you there just one kind of favor i will ask for you you can see that my grave is kept clean and there two white horses following me and there two white horses following me i got two white horses following me waiting on my burying ground did you ever hear that coffin sound did you ever hear that coffin sound did you ever hear that coffin sound means another poor boy is under the ground did you ever hear them church bells toll did you ever hear them church bells toll did you ever hear them church bells toll means another poor boy is dead and gone and my heart stopped beating and my hands turned cold and my heart stopped beating and my hands turned cold and my heart stopped beating and my hands turned cold and i believe what the father told and there one last favor i will ask for you and there one last favor i will ask for you and just one last flavor i will ask for you you can see that my grave is kept clean;1960s
14;Blowin' in the Wind;1;The Freewheelin' Bob Dylan;1963;how many roads must a man walk down before you call him a man  how many seas must a white dove sail before she sleeps in the sand  yes  and how many times must the cannonballs fly before they are forever banned  the answer  my friend  is blowin  in the wind the answer is blowin  in the wind yes  and how many years can a mountain exist before it is washed to the sea  yes  and how many years can some people exist before they are allowed to be free  yes  and how many times can a man turn his head and pretend that he just does not see  the answer  my friend  is blowin  in the wind the answer is blowin  in the wind yes  and how many times must a man look up before he can really see the sky  yes  and how many ears must one man have before he can hear people cry  yes  and how many deaths will it take  til he knows that too many people have died  the answer  my friend  is blowin  in the wind the answer is blowin  in the wind;1960s
15;Girl from the North Country;2;The Freewheelin' Bob Dylan;1963;if you are travelin  the north country fair where the winds hit heavy on the borderline remember me to one who lives there for she once was a true love of mine if you go when the snowflakes storm when the rivers freeze and summer ends please see if she has a coat so warm to keep her from the howling winds please see if her hair hangs long if it rolls and flows all down her breast please see for me if her hair hangin  long for that the way i remember her best i am a wondering if she remembers me at all many times i have often prayed in the darkness of my night in the brightness of my day so if you are travelin  the north country fair where the winds hit heavy on the borderline remember me to one who lives there for she once was a true love of mine;1960s
16;Masters of War;3;The Freewheelin' Bob Dylan;1963;come  you masters of war you that build the big guns you that build the death planes you that build all the bombs you that hide behind walls you that hide behind desks i just want you to know i can see through your masks you that never done nothing but build to destroy you play with my world like it your little toy you put a gun in my hand and you hide from my eyes and you turn and run farther when the fast bullets fly like judas of old you lie and deceive a world war can be won you want me to believe but i see through your eyes and i see through your brain like i see through the water that runs down my drain you fasten all the triggers for the others to fire then you set back and watch while the death count gets higher you hide in your mansion while the young people blood flows out of their bodies and is buried in the mud you have thrown the worst fear that can ever be hurled fear to bring children into the world for threatening my baby unborn and unnamed you ai not worth the blood that runs in your veins how much do i know to talk out of turn you might say that i am young you might say i am unlearned but there one thing i know though i am younger than you that even jesus would never forgive what you do let me ask you one question is your money that good will it buy you forgiveness do you think that it could i think you will find when your death takes its toll all the money you made will never buy back your soul and i hope that you die and your death will come soon i will follow your casket by the pale afternoon and i will watch while you are lowered down to your deathbed and i will stand over your grave  til i am sure that you are dead;1960s
17;Down the Highway;4;The Freewheelin' Bob Dylan;1963;well  i am walking down the highway with my suitcase in my hand yes  i am walking down the highway with my suitcase in my hand lord  i really miss my baby she in some foreign land well  your streets are getting empty lord  your highway getting filled and your streets are getting empty and your highway getting filled well  the way i love that woman i swear it bound to get me killed well  i have been gambling so long lord  i ai not got much more to lose yes  i have been gambling so long lord  i ai not a got much more to lose right now i am having trouble please do not take away my highway shoes well  i am bound to get lucky  baby or i am bound to die trying yes  i am a bound to get lucky  baby lord  lord  i am a bound to die trying well  meet me in the middle of the ocean and we will leave this old highway behind well  the ocean took my baby my baby stole my heart from me yes  the ocean took my baby my baby took my heart from me she packed it all up in a suitcase lord  she took it away to italy  italy so  i am a walking down your highway just as far as my poor eyes can see yes  i am a walking down your highway just as far as my eyes can see from the golden gate bridge all the way to the statue of liberty;1960s
18;Bob Dylan's Blues;5;The Freewheelin' Bob Dylan;1963;unlike most of the songs nowadays that have been written up in tin pan alley  that where most of the folk songs come from nowadays  this  this is a song  this was not written up there  this was written somewhere down in the united states well  the lone ranger and tonto they are riding down the line fixing everybody   s troubles everybody   s except mine somebody must have told them that i was doing fine oh you five and ten cent women with nothing in your heads i got a real gal i   m loving and lord i   ll love her till i   m dead go away from my door and my window too right now lord  i am not going down to no race track see no sports car run i don   t have no sports car and i don   t even care to have one i can walk anytime around the block well  the wind keeps a blowing me up and down the street with my hat in my hand and my boots on my feet watch out so you don   t step on me well  look it here buddy you want to be like me pull out your six shooter and rob every bank you can see tell the judge i said it was all right yes ;1960s
19;A Hard Rain's a-Gonna Fall;6;The Freewheelin' Bob Dylan;1963;oh  where have you been  my blue eyed son  and where have you been  my darling young one  i have stumbled on the side of twelve misty mountains i have walked and i have crawled on six crooked highways i have stepped in the middle of seven sad forests i have been out in front of a dozen dead oceans i have been ten thousand miles in the mouth of a graveyard and it a hard  and it a hard  it a hard  it a hard it a hard rain a going to fall oh  what did you see  my blue eyed son  and what did you see  my darling young one  i saw a newborn baby with wild wolves all around it i saw a highway of diamonds with nobody on it i saw a black branch with blood that kept dripping i saw a room full of men with their hammers a bleeding i saw a white ladder all covered with water i saw ten thousand talkers whose tongues were all broken i saw guns and sharp swords in the hands of young children and it a hard  it a hard  it a hard  and it a hard it a hard rain a going to fall and what did you hear  my blue eyed son  and what did you hear  my darling young one  i heard the sound of a thunder that roared out a warning i heard the roar of a wave that could drown the whole world i heard one hundred drummers whose hands were a blazing i heard ten thousand whispering and nobody listening i heard one person starve  i heard many people laughing i heard the song of a poet who died in the gutter i heard the sound of a clown who cried in the alley and it a hard  it a hard  it a hard  it a hard it a hard rain a going to fall oh  what did you meet  my blue eyed son  and who did you meet  my darling young one  i met a young child beside a dead pony i met a white man who walked a black dog i met a young woman  her body was burning i met a young girl  she gave me a rainbow i met one man who was wounded in love i met another man who was wounded in hatred and it a hard  it a hard  it a hard  it a hard it a hard rain a going to fall and what will you do now  my blue eyed son  and what will you do now  my darling young one  i am a going back out  fore the rain starts a falling i will walk to the depths of the deepest dark forest where the people are many and their hands are all empty where the pellets of poison are flooding their waters where the home in the valley meets the damp dirty prison and the executioner face is always well hidden where hunger is ugly  where the souls are forgotten where black is the color  where none is the number and i will tell it  and speak it  and think it  and breathe it and reflect from the mountain so all souls can see it then i will stand on the ocean until i start sinking but i will know my song well before i start singing and it a hard  it a hard  it a hard  and it a hard it a hard rain a going to fall;1960s
20;Don't Think Twice, It's All Right;7;The Freewheelin' Bob Dylan;1963;well it ai not no use to sit and wonder why  babe if n you do not know by now and it ai not no use to sit and wonder why  babe it will never do somehow when your rooster crows at the break of dawn look out your window and i will be gone you are the reason i am a traveling on but do not think twice  it all right and it ai not no use in turning on your light  babe the light i never knowed and it ai not no use in turning on your light  babe i am on the dark side of the road but i wish there was something you would do or say to try and make me change my mind and stay but we never did too much talking anyway but do not think twice  it all right so it ai not no use in calling out my name  gal like you never done before and it ai not no use in calling out my name  gal i can not hear you anymore i am a thinking and a wondering  walking down the road i once loved a woman  a child i am told i gave her my heart but she wanted my soul but do not think twice  it all right so long  honey babe where i am bound  i can not tell goodbye too good a word  babe so i will just say fare thee well i ai not a saying you treated me unkind you could have done better  but i do not mind you just kinda wasted my precious time but do not think twice  it all right;1960s
21;Bob Dylan's Dream;8;The Freewheelin' Bob Dylan;1963;while riding on a train going west i fell asleep for to take my rest i dreamed a dream that made me sad concerning myself and the first few friends i had with half damp eyes i stared to the room where my friends and i spent many an afternoon where we together weathered many a storm laughin and singin till the early hours of the morn by the old wooden stove where our hats was hung our words was told  our songs was sung where we longed for nothing and were satisfied jokin and talkin about the world outside with hungry hearts through the heat and cold we never much thought we could get very old we thought we could sit forever in fun and our chances really was a million to one as easy it was to tell black from white it was all that easy to tell wrong from right and our choices  they were few so the thought never hit that the one road we traveled would ever shatter or split how many a year has passed and gone many a gamble has been lost and won and many a road taken by many a first friend and each one i have never seen again i wish  i wish  i wish in vain that we could sit simply in that room again ten thousand dollars at the drop of a hat and i would give it all gladly if our lives could be like that;1960s
